table,column,type,unit,definition,source
segments,segment_id,integer,count / identifier,segment id,Synthetic assumption or synthetic record
segments,segment,text,label,segment,Synthetic assumption or synthetic record
segments,reachable_buyers,integer,count / identifier,reachable buyers,Synthetic assumption or synthetic record
segments,wtp_mean,integer,USD,wtp mean,Synthetic assumption or synthetic record
segments,interest_mean,decimal,count / identifier,interest mean,Synthetic assumption or synthetic record
strategies,strategy_id,integer,fraction or multiplier,strategy id,Synthetic assumption or synthetic record
strategies,strategy,text,fraction or multiplier,strategy,Synthetic assumption or synthetic record
strategies,price,integer,USD,Retail test price,Synthetic assumption or synthetic record
strategies,realization,decimal,fraction or multiplier,Manufacturer realization or royalty fraction,Synthetic assumption or synthetic record
strategies,unit_cogs,integer,count / identifier,Hardware cost per unit,Synthetic assumption or synthetic record
strategies,unit_service,integer,count / identifier,Returns warranty service reserve per unit,Synthetic assumption or synthetic record
strategies,unit_acquisition,integer,count / identifier,Acquisition cost per unit,Synthetic assumption or synthetic record
strategies,initial_investment,integer,USD,Time-zero launch investment,Synthetic assumption or synthetic record
strategies,annual_fixed,integer,count / identifier,Recurring team software overhead,Synthetic assumption or synthetic record
strategies,cannibalization_rate,decimal,fraction or multiplier,Mechanical units lost per wearable,Synthetic assumption or synthetic record
strategies,brand_haircut,decimal,fraction or multiplier,Residual mechanical contribution haircut,Synthetic assumption or synthetic record
strategies,demand_factor,decimal,fraction or multiplier,Demand realization multiplier,Synthetic assumption or synthetic record
scenarios,scenario_id,integer,count / identifier,scenario id,Synthetic assumption or synthetic record
scenarios,scenario,text,label,scenario,Synthetic assumption or synthetic record
scenarios,volume_factor,decimal,fraction or multiplier,volume factor,Synthetic assumption or synthetic record
scenarios,cost_factor,decimal,USD,cost factor,Synthetic assumption or synthetic record
scenarios,risk_factor,decimal,fraction or multiplier,risk factor,Synthetic assumption or synthetic record
years,year,integer,count / identifier,year,Synthetic assumption or synthetic record
years,period,integer,count / identifier,Years after time zero,Synthetic assumption or synthetic record
years,ramp,decimal,fraction or multiplier,Year-specific volume multiplier,Synthetic assumption or synthetic record
assumptions,assumption_id,integer,count / identifier,assumption id,Synthetic assumption or synthetic record
assumptions,discount_rate,decimal,fraction or multiplier,Annual pre-tax hurdle rate,Synthetic assumption or synthetic record
assumptions,conversion_calibration,decimal,fraction or multiplier,Qualified-audience purchase calibration,Synthetic assumption or synthetic record
assumptions,mechanical_units,integer,count / identifier,Annual no-entry baseline units,Synthetic assumption or synthetic record
assumptions,mechanical_net_price,integer,USD,Mechanical manufacturer revenue per unit,Synthetic assumption or synthetic record
assumptions,mechanical_margin,decimal,fraction or multiplier,Mechanical contribution margin,Synthetic assumption or synthetic record
assumptions,max_cannibalization,decimal,fraction or multiplier,Annual displaced baseline-unit share limit,Synthetic assumption or synthetic record
assumptions,max_brand_haircut,decimal,fraction or multiplier,Brand haircut limit,Synthetic assumption or synthetic record
respondents,respondent_id,integer,count / identifier,respondent id,Synthetic assumption or synthetic record
respondents,segment_id,integer,count / identifier,segment id,Synthetic assumption or synthetic record
respondents,max_wtp,integer,USD,Respondent maximum willingness to pay,Synthetic assumption or synthetic record
respondents,heritage_owner,integer,count / identifier,heritage owner,Synthetic assumption or synthetic record
respondents,preferred_channel,text,label,preferred channel,Synthetic assumption or synthetic record
responses,respondent_id,integer,count / identifier,respondent id,Synthetic assumption or synthetic record
responses,strategy_id,integer,fraction or multiplier,strategy id,Synthetic assumption or synthetic record
responses,interested,integer,count / identifier,interested,Synthetic assumption or synthetic record
segment_analysis,strategy_id,integer,fraction or multiplier,strategy id,Calculated scenario output
segment_analysis,segment_id,integer,count / identifier,segment id,Calculated scenario output
segment_analysis,sample_n,integer,count / identifier,sample n,Calculated scenario output
segment_analysis,interested_n,integer,count / identifier,interested n,Calculated scenario output
segment_analysis,qualified_n,integer,count / identifier,qualified n,Calculated scenario output
segment_analysis,qualified_rate,decimal,fraction or multiplier,Interested and affordable divided by sample,Calculated scenario output
segment_analysis,mean_wtp,decimal,USD,mean wtp,Calculated scenario output
segment_analysis,reachable_buyers,integer,count / identifier,reachable buyers,Calculated scenario output
segment_analysis,base_annual_units,decimal,count / identifier,Calibrated annual units before year/scenario factors,Calculated scenario output
forecast,strategy_id,integer,fraction or multiplier,strategy id,Calculated scenario output
forecast,scenario_id,integer,count / identifier,scenario id,Calculated scenario output
forecast,year,integer,count / identifier,year,Calculated scenario output
